step,loss,lr,s1,s2,intrinsic_progress
1,10.40317153930664,0.001,0.001,0.0,3.358436287285432e-05
2,10.402223587036133,0.001,0.002,0.0,6.716872574570864e-05
3,10.400403022766113,0.001,0.003,0.0,0.00010075308861856296
4,10.393157958984375,0.001,0.004,0.0,0.00013433745149141728
5,10.37192153930664,0.001,0.005,0.0,0.0001679218143642716
6,10.361729621887207,0.001,0.006,0.0,0.00020150617723712591
7,10.28675365447998,0.001,0.007,0.0,0.00023509054010998023
8,10.263995170593262,0.001,0.008,0.0,0.00026867490298283455
9,10.160863876342773,0.001,0.009000000000000001,0.0,0.0003022592658556889
10,10.13260555267334,0.001,0.010000000000000002,0.0,0.00033584362872854324
11,10.11297607421875,0.001,0.011000000000000003,0.0,0.0003694279916013976
12,10.061158180236816,0.001,0.012000000000000004,0.0,0.00040301235447425194
13,10.028687477111816,0.001,0.013000000000000005,0.0,0.0004365967173471063
14,10.003689765930176,0.001,0.014000000000000005,0.0,0.00047018108021996063
15,9.965758323669434,0.001,0.015000000000000006,0.0,0.000503765443092815
16,9.946663856506348,0.001,0.016000000000000007,0.0,0.0005373498059656693
17,9.927355766296387,0.001,0.017000000000000008,0.0,0.0005709341688385237
18,9.912758827209473,0.001,0.01800000000000001,0.0,0.000604518531711378
19,9.882298469543457,0.001,0.01900000000000001,0.0,0.0006381028945842324
20,9.88778018951416,0.001,0.02000000000000001,0.0,0.0006716872574570867
21,9.8632173538208,0.001,0.02100000000000001,0.0,0.0007052716203299411
22,9.8563814163208,0.001,0.022000000000000013,0.0,0.0007388559832027954
23,9.832422256469727,0.001,0.023000000000000013,0.0,0.0007724403460756498
24,9.81246566772461,0.001,0.024000000000000014,0.0,0.0008060247089485041
25,9.790443420410156,0.001,0.025000000000000015,0.0,0.0008396090718213585
26,9.779816627502441,0.001,0.026000000000000016,0.0,0.0008731934346942128
27,9.768317222595215,0.001,0.027000000000000017,0.0,0.0009067777975670672
28,9.75485897064209,0.001,0.028000000000000018,0.0,0.0009403621604399215
29,9.732528686523438,0.001,0.02900000000000002,0.0,0.0009739465233127759
30,9.705011367797852,0.001,0.03000000000000002,0.0,0.0010075308861856303
31,9.711996078491211,0.001,0.03100000000000002,0.0,0.0010411152490584846
32,9.671167373657227,0.001,0.03200000000000002,0.0,0.0010746996119313389
33,9.652528762817383,0.001,0.03300000000000002,0.0,0.0011082839748041934
34,9.631784439086914,0.001,0.03400000000000002,0.0,0.0011418683376770477
35,9.60532283782959,0.001,0.035000000000000024,0.0,0.001175452700549902
36,9.56663703918457,0.001,0.036000000000000025,0.0,0.0012090370634227562
37,9.564323425292969,0.001,0.037000000000000026,0.0,0.0012426214262956108
38,9.552477836608887,0.001,0.03800000000000003,0.0,0.001276205789168465
39,9.505256652832031,0.001,0.03900000000000003,0.0,0.0013097901520413193
40,9.467509269714355,0.001,0.04000000000000003,0.0,0.0013433745149141736
41,9.452203750610352,0.001,0.04100000000000003,0.0,0.0013769588777870281
42,9.438761711120605,0.001,0.04200000000000003,0.0,0.0014105432406598824
43,9.414993286132812,0.001,0.04300000000000003,0.0,0.0014441276035327367
44,9.396865844726562,0.001,0.04400000000000003,0.0,0.001477711966405591
45,9.3444185256958,0.001,0.04500000000000003,0.0,0.0015112963292784455
46,9.328703880310059,0.001,0.046000000000000034,0.0,0.0015448806921512998
47,9.294265747070312,0.001,0.047000000000000035,0.0,0.001578465055024154
48,9.269994735717773,0.001,0.048000000000000036,0.0,0.0016120494178970084
49,9.230575561523438,0.001,0.04900000000000004,0.0,0.001645633780769863
50,9.208879470825195,0.001,0.05000000000000004,0.0,0.0016792181436427172
51,9.16039752960205,0.001,0.05100000000000004,0.0,0.0017128025065155715
52,9.136942863464355,0.001,0.05200000000000004,0.0,0.0017463868693884258
53,9.116168022155762,0.001,0.05300000000000004,0.0,0.0017799712322612803
54,9.102566719055176,0.001,0.05400000000000004,0.0,0.0018135555951341346
55,9.068906784057617,0.001,0.05500000000000004,0.0,0.0018471399580069889
56,9.036334991455078,0.001,0.05600000000000004,0.0,0.0018807243208798434
57,8.990457534790039,0.001,0.057000000000000044,0.0,0.0019143086837526977
58,8.969107627868652,0.001,0.058000000000000045,0.0,0.001947893046625552
59,8.92427921295166,0.001,0.059000000000000045,0.0,0.0019814774094984063
60,8.919516563415527,0.001,0.060000000000000046,0.0,0.0020150617723712605
61,8.876837730407715,0.001,0.06100000000000005,0.0,0.002048646135244115
62,8.84090805053711,0.001,0.06200000000000005,0.0,0.0020822304981169696
63,8.834633827209473,0.001,0.06300000000000004,0.0,0.0021158148609898234
64,8.786371231079102,0.001,0.06400000000000004,0.0,0.0021493992238626777
65,8.761445999145508,0.001,0.06500000000000004,0.0,0.002182983586735532
