step,loss,lr,s1,s2,intrinsic_progress
1,10.403170585632324,0.001,0.001,0.0,3.504169988883074e-05
2,10.402223587036133,0.001,0.002,0.0,7.008339977766148e-05
3,10.400403022766113,0.001,0.003,0.0,0.00010512509966649223
4,10.393159866333008,0.001,0.004,0.0,0.00014016679955532296
5,10.37192153930664,0.001,0.005,0.0,0.00017520849944415373
6,10.361729621887207,0.001,0.006,0.0,0.00021025019933298446
7,10.286755561828613,0.001,0.007,0.0,0.0002452918992218152
8,10.263997077941895,0.001,0.008,0.0,0.00028033359911064593
9,10.16086483001709,0.001,0.009000000000000001,0.0,0.0003153752989994767
10,10.132609367370605,0.001,0.010000000000000002,0.0,0.0003504169988883075
11,10.11297607421875,0.001,0.011000000000000003,0.0,0.0003854586987771383
12,10.0611572265625,0.001,0.012000000000000004,0.0,0.00042050039866596903
13,10.028687477111816,0.001,0.013000000000000005,0.0,0.0004555420985547998
14,10.00368595123291,0.001,0.014000000000000005,0.0,0.0004905837984436306
15,9.965758323669434,0.001,0.015000000000000006,0.0,0.0005256254983324614
16,9.946663856506348,0.001,0.016000000000000007,0.0,0.0005606671982212922
17,9.927356719970703,0.001,0.017000000000000008,0.0,0.0005957088981101229
18,9.912758827209473,0.001,0.01800000000000001,0.0,0.0006307505979989536
19,9.88229751586914,0.001,0.01900000000000001,0.0,0.0006657922978877844
20,9.887777328491211,0.001,0.02000000000000001,0.0,0.0007008339977766152
21,9.8632173538208,0.001,0.02100000000000001,0.0,0.000735875697665446
22,9.856382369995117,0.001,0.022000000000000013,0.0,0.0007709173975542768
23,9.832418441772461,0.001,0.023000000000000013,0.0,0.0008059590974431076
24,9.81246280670166,0.001,0.024000000000000014,0.0,0.0008410007973319383
25,9.790446281433105,0.001,0.025000000000000015,0.0,0.0008760424972207691
26,9.779817581176758,0.001,0.026000000000000016,0.0,0.0009110841971095998
27,9.768317222595215,0.001,0.027000000000000017,0.0,0.0009461258969984306
28,9.754859924316406,0.001,0.028000000000000018,0.0,0.0009811675968872614
29,9.732526779174805,0.001,0.02900000000000002,0.0,0.001016209296776092
30,9.705008506774902,0.001,0.03000000000000002,0.0,0.001051250996664923
31,9.711994171142578,0.001,0.03100000000000002,0.0,0.0010862926965537537
32,9.671165466308594,0.001,0.03200000000000002,0.0,0.0011213343964425846
33,9.65252685546875,0.001,0.03300000000000002,0.0,0.0011563760963314153
34,9.631780624389648,0.001,0.03400000000000002,0.0,0.0011914177962202462
35,9.60531997680664,0.001,0.035000000000000024,0.0,0.0012264594961090768
36,9.566632270812988,0.001,0.036000000000000025,0.0,0.0012615011959979075
37,9.56432056427002,0.001,0.037000000000000026,0.0,0.0012965428958867384
38,9.552474021911621,0.001,0.03800000000000003,0.0,0.001331584595775569
39,9.505253791809082,0.001,0.03900000000000003,0.0,0.0013666262956644
40,9.467503547668457,0.001,0.04000000000000003,0.0,0.0014016679955532307
41,9.452197074890137,0.001,0.04100000000000003,0.0,0.0014367096954420616
42,9.43875789642334,0.001,0.04200000000000003,0.0,0.0014717513953308922
43,9.414997100830078,0.001,0.04300000000000003,0.0,0.001506793095219723
44,9.396859169006348,0.001,0.04400000000000003,0.0,0.0015418347951085538
45,9.34441089630127,0.001,0.04500000000000003,0.0,0.0015768764949973845
46,9.328709602355957,0.001,0.046000000000000034,0.0,0.0016119181948862154
47,9.2942476272583,0.001,0.047000000000000035,0.0,0.001646959894775046
48,9.269998550415039,0.001,0.048000000000000036,0.0,0.001682001594663877
49,9.230566024780273,0.001,0.04900000000000004,0.0,0.0017170432945527077
50,9.208895683288574,0.001,0.05000000000000004,0.0,0.0017520849944415383
51,9.160388946533203,0.001,0.05100000000000004,0.0,0.0017871266943303692
52,9.136944770812988,0.001,0.05200000000000004,0.0,0.0018221683942192
53,9.116162300109863,0.001,0.05300000000000004,0.0,0.0018572100941080308
54,9.102574348449707,0.001,0.05400000000000004,0.0,0.0018922517939968615
55,9.068901062011719,0.001,0.05500000000000004,0.0,0.0019272934938856924
