split,schedule,step,actual_loss,predicted_loss,residual,log_actual_loss,log_predicted_loss,log_residual
train,cosine,0,10.40317153930664,10.39831260745376,0.004858931852879778,2.3421107153603495,2.341643543700196,0.0004671716601536424
train,cosine,16,9.92735767364502,6.100428323241536,3.826929350403484,2.295294347344828,1.8083589856390145,0.48693536170581364
train,cosine,32,9.652528762817383,5.475058722295679,4.177470040521704,2.2672199289826755,1.7002030011785036,0.5670169278041719
train,cosine,48,9.230602264404297,5.150506320071585,4.080095944332712,2.222524297134051,1.6390950244200904,0.5834292727139607
train,cosine,64,8.761478424072266,4.938124515457958,3.8233539086143074,2.170364660579531,1.5969856063721795,0.5733790542073514
train,cosine,80,8.24997615814209,4.783193854466481,3.4667823036756085,2.1102103104202428,1.565108493767392,0.5451018166528507
train,cosine,96,7.77968692779541,4.662722127061315,3.1169648007340953,2.0515160967373602,1.5395994250279037,0.5119166717094565
train,cosine,112,7.350100040435791,4.565008690598093,2.785091349837698,1.9947139240757623,1.5184204177905947,0.47629350628516764
train,cosine,128,6.934712886810303,4.48334044684022,2.4513724399700827,1.9365396523056282,1.5003684040342908,0.43617124827133735
train,cosine,144,6.628182411193848,4.4135329701644155,2.214649441029432,1.8913306204882447,1.4846754957491979,0.40665512473904686
train,cosine,160,6.391911029815674,4.352814030314264,2.0390969995014094,1.855033289377065,1.4708225394692267,0.3842107499078382
train,cosine,176,6.254221439361572,4.299258918333629,1.9549625210279435,1.8332566660457779,1.4584426632729095,0.37481400277286836
train,cosine,192,6.099757194519043,4.251480753653757,1.8482764408652859,1.8082489662098522,1.447267334879155,0.3609816313306973
train,cosine,208,5.972768783569336,4.208449530982438,1.7643192525868976,1.787210602732924,1.4370942974346879,0.3501163052982361
train,cosine,224,5.845432281494141,4.169380861012662,1.6760514204814783,1.7656605496733393,1.4277675502099696,0.3378929994633697
train,cosine,240,5.793899059295654,4.133664630440986,1.6602344288546682,1.7568054776033495,1.4191643332568844,0.3376411443464651
train,cosine,256,5.627570629119873,4.100817619957594,1.5267530091622792,1.7276778444298748,1.4111863733306886,0.3164914710991862
train,cosine,272,5.55594539642334,4.070451077498733,1.4854943189246068,1.7148685969862334,1.403753823165598,0.31111477382063546
train,cosine,288,5.457356929779053,4.042247945969925,1.4151089838091275,1.696964593757803,1.396800959497371,0.30016363426043213
train,cosine,304,5.362880229949951,4.015946507211455,1.3469337227384965,1.679501187092442,1.3902730623832507,0.28922812470919124
train,cosine,320,5.365574359893799,3.991328399754929,1.37424596013887,1.6800034271826465,1.3841241077615278,0.29587931942111867
train,cosine,336,5.219970703125,3.9682096855598266,1.2517610175651734,1.6524917894506368,1.3783150321695252,0.27417675728111157
train,cosine,352,5.215822696685791,3.9464340848833035,1.2693886118024875,1.651696831846794,1.37281240785613,0.27888442399066404
train,cosine,368,5.145959377288818,3.9258677805780335,1.2200915967107848,1.6382118197920201,1.367587417390578,0.27062440240144214
train,cosine,384,5.048178195953369,3.9063953767682587,1.1417828191851105,1.6190274249235905,1.3626150502627339,0.25641237466085665
train,cosine,400,5.098677635192871,3.8879167190048736,1.2107609161879975,1.6289812188924537,1.3578734663597465,0.27110775253270725
train,cosine,416,5.014077186584473,3.8703443658396495,1.1437328207448232,1.6122493938307099,1.3533434865039988,0.25890590732671104
train,cosine,432,4.9209465980529785,3.853601558939063,1.0673450391139157,1.593500909976347,1.3490081808747572,0.24449272910158992
train,cosine,448,4.958428382873535,3.837620578968175,1.1208078039053602,1.601088832235015,1.344852533649171,0.25623629858584396
train,cosine,464,4.861696720123291,3.8223414030287737,1.0393553170945173,1.5813874963513488,1.340863167581985,0.2405243287693637
train,cosine,480,4.79013204574585,3.8077106000406467,0.982421445705203,1.5665579780044174,1.3370281161526474,0.22952986185177005
train,cosine,496,4.789431095123291,3.793680415510476,0.995750679612815,1.5664116350838684,1.3333366337821295,0.23307500130173886
train,cosine,512,4.768099308013916,3.780208008262007,0.9878912997519089,1.5619477575692011,1.3297790367582187,0.2321687208109824
train,cosine,528,4.7298054695129395,3.7672548100167518,0.9625506594961877,1.5538840747052383,1.3263465691131753,0.22753750559206298
train,cosine,544,4.676235198974609,3.7547859849902756,0.9214492139843338,1.54249334152677,1.3230312889154818,0.21946205261128826
train,cosine,560,4.691802024841309,3.7427699714499556,0.949032053391353,1.5458167357069346,1.3198259713698974,0.22599076433703713
train,cosine,576,4.673941135406494,3.731178090853914,0.9427630445525801,1.5420026419865462,1.316724025840111,0.2252786161464353
train,cosine,592,4.620128154754639,3.719984213037328,0.9001439417173107,1.5304224438333058,1.3137194244688803,0.2167030193644255
train,cosine,608,4.627094268798828,3.70916446813468,0.9179298006641483,1.5319290833500931,1.3108066405102263,0.22112244283986682
