step,loss,lr,s1,s2
1,10.403170585632324,0.001,0.001,0.0
2,10.402223587036133,0.001,0.002,0.0
3,10.400403022766113,0.001,0.003,0.0
4,10.393159866333008,0.001,0.004,0.0
5,10.37192153930664,0.001,0.005,0.0
6,10.361729621887207,0.001,0.006,0.0
7,10.286755561828613,0.001,0.007,0.0
8,10.263997077941895,0.001,0.008,0.0
9,10.16086483001709,0.001,0.009000000000000001,0.0
10,10.132609367370605,0.001,0.010000000000000002,0.0
11,10.11297607421875,0.001,0.011000000000000003,0.0
12,10.0611572265625,0.001,0.012000000000000004,0.0
13,10.028687477111816,0.001,0.013000000000000005,0.0
14,10.00368595123291,0.001,0.014000000000000005,0.0
15,9.965758323669434,0.001,0.015000000000000006,0.0
16,9.946663856506348,0.001,0.016000000000000007,0.0
17,9.927356719970703,0.001,0.017000000000000008,0.0
18,9.912758827209473,0.001,0.01800000000000001,0.0
19,9.88229751586914,0.001,0.01900000000000001,0.0
20,9.887777328491211,0.001,0.02000000000000001,0.0
21,9.8632173538208,0.001,0.02100000000000001,0.0
22,9.856382369995117,0.001,0.022000000000000013,0.0
23,9.832418441772461,0.001,0.023000000000000013,0.0
24,9.81246280670166,0.001,0.024000000000000014,0.0
25,9.790446281433105,0.001,0.025000000000000015,0.0
26,9.779817581176758,0.001,0.026000000000000016,0.0
27,9.768317222595215,0.001,0.027000000000000017,0.0
28,9.754859924316406,0.001,0.028000000000000018,0.0
29,9.732526779174805,0.001,0.02900000000000002,0.0
30,9.705008506774902,0.001,0.03000000000000002,0.0
31,9.711994171142578,0.001,0.03100000000000002,0.0
32,9.671165466308594,0.001,0.03200000000000002,0.0
33,9.65252685546875,0.001,0.03300000000000002,0.0
34,9.631780624389648,0.001,0.03400000000000002,0.0
35,9.60531997680664,0.001,0.035000000000000024,0.0
36,9.566632270812988,0.001,0.036000000000000025,0.0
37,9.56432056427002,0.001,0.037000000000000026,0.0
38,9.552474021911621,0.001,0.03800000000000003,0.0
39,9.505253791809082,0.001,0.03900000000000003,0.0
40,9.467503547668457,0.001,0.04000000000000003,0.0
41,9.452197074890137,0.001,0.04100000000000003,0.0
42,9.43875789642334,0.001,0.04200000000000003,0.0
43,9.414997100830078,0.001,0.04300000000000003,0.0
44,9.396859169006348,0.001,0.04400000000000003,0.0
45,9.34441089630127,0.001,0.04500000000000003,0.0
46,9.328709602355957,0.001,0.046000000000000034,0.0
47,9.2942476272583,0.001,0.047000000000000035,0.0
48,9.269998550415039,0.001,0.048000000000000036,0.0
49,9.230566024780273,0.001,0.04900000000000004,0.0
50,9.208895683288574,0.001,0.05000000000000004,0.0
51,9.160388946533203,0.001,0.05100000000000004,0.0
52,9.136944770812988,0.001,0.05200000000000004,0.0
53,9.116162300109863,0.001,0.05300000000000004,0.0
54,9.102574348449707,0.001,0.05400000000000004,0.0
55,9.068901062011719,0.001,0.05500000000000004,0.0
56,9.036328315734863,0.001,0.05600000000000004,0.0
57,8.990460395812988,0.001,0.057000000000000044,0.0
58,8.969101905822754,0.001,0.058000000000000045,0.0
59,8.924276351928711,0.001,0.059000000000000045,0.0
60,8.919515609741211,0.001,0.060000000000000046,0.0
61,8.876839637756348,0.001,0.06100000000000005,0.0
62,8.840907096862793,0.001,0.06200000000000005,0.0
63,8.834634780883789,0.001,0.06300000000000004,0.0
64,8.786369323730469,0.001,0.06400000000000004,0.0
65,8.761444091796875,0.001,0.06500000000000004,0.0
66,8.727754592895508,0.001,0.06600000000000004,0.0
67,8.686718940734863,0.001,0.06700000000000005,0.0
68,8.64182186126709,0.001,0.06800000000000005,0.0
69,8.616765022277832,0.001,0.06900000000000005,0.0
70,8.615653991699219,0.001,0.07000000000000005,0.0
71,8.560221672058105,0.001,0.07100000000000005,0.0
72,8.536599159240723,0.001,0.07200000000000005,0.0
73,8.492777824401855,0.001,0.07300000000000005,0.0
74,8.467106819152832,0.001,0.07400000000000005,0.0
75,8.420933723449707,0.001,0.07500000000000005,0.0
76,8.418059349060059,0.001,0.07600000000000005,0.0
77,8.371194839477539,0.001,0.07700000000000005,0.0
78,8.38107967376709,0.001,0.07800000000000006,0.0
79,8.298213958740234,0.001,0.07900000000000006,0.0
80,8.288938522338867,0.001,0.08000000000000006,0.0
81,8.25045394897461,0.001,0.08100000000000006,0.0
82,8.20995044708252,0.001,0.08200000000000006,0.0
83,8.165607452392578,0.001,0.08300000000000006,0.0
84,8.132965087890625,0.001,0.08400000000000006,0.0
85,8.129517555236816,0.001,0.08500000000000006,0.0
86,8.125494956970215,0.001,0.08600000000000006,0.0
87,8.06541919708252,0.001,0.08700000000000006,0.0
88,8.059478759765625,0.001,0.08800000000000006,0.0
89,7.998770236968994,0.001,0.08900000000000007,0.0
90,7.964240074157715,0.001,0.09000000000000007,0.0
91,7.91453218460083,0.001,0.09100000000000007,0.0
92,7.926060199737549,0.001,0.09200000000000007,0.0
93,7.902829647064209,0.001,0.09300000000000007,0.0
94,7.82729959487915,0.001,0.09400000000000007,0.0
95,7.823841571807861,0.001,0.09500000000000007,0.0
96,7.831709861755371,0.001,0.09600000000000007,0.0
97,7.79020881652832,0.001,0.09700000000000007,0.0
98,7.7096076011657715,0.001,0.09800000000000007,0.0
99,7.70851469039917,0.001,0.09900000000000007,0.0
100,7.655905723571777,0.001,0.10000000000000007,0.0
101,7.653934001922607,0.001,0.10100000000000008,0.0
102,7.617008686065674,0.001,0.10200000000000008,0.0
103,7.606929302215576,0.001,0.10300000000000008,0.0
104,7.610435485839844,0.001,0.10400000000000008,0.0
105,7.567053318023682,0.001,0.10500000000000008,0.0
106,7.50429630279541,0.001,0.10600000000000008,0.0
107,7.452879428863525,0.001,0.10700000000000008,0.0
108,7.4753570556640625,0.001,0.10800000000000008,0.0
109,7.4307074546813965,0.001,0.10900000000000008,0.0
110,7.448268413543701,0.001,0.11000000000000008,0.0
111,7.360048770904541,0.001,0.11100000000000008,0.0
112,7.335422992706299,0.001,0.11200000000000009,0.0
113,7.356011390686035,0.001,0.11300000000000009,0.0
114,7.314142227172852,0.001,0.11400000000000009,0.0
115,7.2726263999938965,0.001,0.11500000000000009,0.0
116,7.284685134887695,0.001,0.11600000000000009,0.0
