step,loss,lr,s1,s2
1,10.40317153930664,0.001,0.001,0.0
2,10.402222633361816,0.0009999999980684609,0.001999999998068461,1.9315391300289697e-12
3,10.40040111541748,0.000999999992273843,0.002999999990342304,9.655764544695688e-12
4,10.393159866333008,0.0009999999826161472,0.003999999972958451,2.702996160093302e-11
5,10.371926307678223,0.0009999999690953729,0.0049999999420538245,5.7907558803997773e-11
6,10.36173152923584,0.0009999999517115205,0.005999999893765345,1.0613813079696063e-10
7,10.286751747131348,0.00099999993046459,0.006999999824229936,1.7556740264824917e-10
8,10.263997077941895,0.0009999999053545816,0.007999999729584517,2.7003725370122263e-10
9,10.16086483001709,0.0009999998763814957,0.008999999605966012,3.9338572076937546e-10
10,10.13260555267334,0.0009999998435453322,0.009999999449511344,5.494470028462291e-10
11,10.112975120544434,0.0009999998068460918,0.010999999256357435,7.420514640757902e-10
12,10.06116008758545,0.0009999997662837748,0.011999999022641209,9.750256378042407e-10
13,10.02868938446045,0.000999999721858381,0.01299999874449959,1.2521922312780968e-09
14,10.00368595123291,0.0009999996735699113,0.0139999984180695,1.577370127735586e-09
15,9.965760231018066,0.000999999621418366,0.014999998039487867,1.954374391531697e-09
16,9.946662902832031,0.0009999995654037454,0.01599999760489161,2.387016271740224e-09
17,9.92735767364502,0.0009999995055260504,0.01699999711041766,2.8791032051016843e-09
18,9.912758827209473,0.0009999994417852808,0.01799999655220294,3.434438821136696e-09
19,9.882299423217773,0.000999999374181438,0.018999995926384378,4.056822944435313e-09
20,9.887779235839844,0.0009999993027145217,0.0199999952290989,4.750051599763e-09
21,9.8632173538208,0.0009999992273845332,0.020999994456483432,5.517917014993094e-09
22,9.856382369995117,0.0009999991481914727,0.021999993604674903,6.3642076253373776e-09
23,9.832422256469727,0.0009999990651353412,0.022999992669810246,7.29270807648822e-09
24,9.812466621398926,0.0009999989782161394,0.023999991648026384,8.307199229058617e-09
25,9.790448188781738,0.000999998887433868,0.024999990535460252,9.41145816193359e-09
26,9.779818534851074,0.0009999987927885273,0.02599998932824878,1.0609258176485593e-08
27,9.768319129943848,0.0009999986942801188,0.026999988022528898,1.1904368799484667e-08
28,9.754858016967773,0.000999998591908643,0.02799998661443754,1.3300555787740401e-08
29,9.732528686523438,0.000999998485674101,0.02899998510011164,1.4801581131004532e-08
30,9.705010414123535,0.0009999983755764933,0.029999983475688132,1.6411203056605365e-08
31,9.71199893951416,0.0009999982616158212,0.030999981737303953,1.8133176032342832e-08
32,9.671167373657227,0.0009999981437920856,0.03199997988109604,1.9971250770681706e-08
33,9.652528762817383,0.0009999980221052876,0.032999977903201326,2.192917423229009e-08
34,9.63178539276123,0.0009999978965554283,0.033999975799756756,2.401068962979122e-08
35,9.60532283782959,0.0009999977671425082,0.03499997356689927,2.6219536431945186e-08
36,9.56663703918457,0.000999997633866529,0.0359999712007658,2.8559450366525436e-08
37,9.564322471618652,0.000999997496727492,0.03699996869749329,3.10341634242766e-08
38,9.552478790283203,0.0009999973557253976,0.03799996605321869,3.3647403863302044e-08
39,9.505257606506348,0.0009999972108602475,0.03899996326407894,3.6402896211929144e-08
40,9.467507362365723,0.000999997062132043,0.03999996032621098,3.930436127265591e-08
41,9.452202796936035,0.0009999969095407853,0.04099995723575177,4.235551612609364e-08
42,9.43877124786377,0.000999996753086476,0.04199995398883825,4.556007413403833e-08
